id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Velvet Basements,Marlow Keys,neo soul,moody,0.55,95,0.44,0.68,0.45
12,Samba Cartography,Lua Vermelha,Latin,happy,0.72,102,0.86,0.91,0.12
13,Cathedral Steps,Monastery Winds,classical,relaxed,0.22,68,0.52,0.25,0.97
14,Dust Road Anthem,Hollow County,country,relaxed,0.48,88,0.63,0.59,0.74
15,Redline Tesseract,Iron Circuit,metal,intense,0.96,168,0.38,0.52,0.04
16,Battery Heart,K7 Vega,electronic,euphoric,0.88,128,0.92,0.85,0.08
17,Rain on Tin Roof,The Mayhews,folk,chill,0.31,82,0.55,0.51,0.94
18,2AM Cipher,Zelda K,hip hop,focused,0.62,92,0.47,0.71,0.33
